Date	Temperature	Humidity
(2021, 10, 27, 2, 18, 4, 48, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 4, 53, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 4, 58, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 5, 3, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 5, 8, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 5, 14, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 5, 19, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 5, 24, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 5, 29, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 5, 34, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 5, 39, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 5, 44, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 5, 49, 0)	21.5	45.0%
(2021, 10, 27, 2, 18, 5, 54, 0)	21.5	45.0%
(2021, 10, 27, 2, 18, 5, 59, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 6, 4, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 6, 9, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 6, 14, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 6, 20, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 6, 25, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 6, 30, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 6, 35, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 6, 40, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 6, 45, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 6, 50, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 6, 55, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 7, 0, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 7, 5, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 7, 10, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 7, 15, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 7, 21, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 7, 26, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 7, 31, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 7, 36, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 7, 41, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 7, 46, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 7, 51, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 7, 56, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 8, 1, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 8, 6, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 8, 11, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 8, 16, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 8, 21, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 8, 27, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 8, 32, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 8, 37, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 8, 42, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 8, 47, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 8, 52, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 8, 57, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 9, 2, 0)	21.4	45.0%
(2021, 10, 27, 2, 18, 9, 7, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 9, 12, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 9, 17, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 9, 22, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 9, 28, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 9, 33, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 9, 38, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 9, 43, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 9, 48, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 9, 53, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 9, 58, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 10, 3, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 10, 8, 0)	21.2	46.0%
(2021, 10, 27, 2, 18, 10, 13, 0)	21.2	46.0%
(2021, 10, 27, 2, 18, 10, 18, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 10, 23, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 10, 29, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 10, 34, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 10, 39, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 10, 44, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 10, 49, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 10, 54, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 10, 59, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 11, 4, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 11, 9, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 11, 14, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 11, 19, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 11, 24, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 11, 29, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 11, 35, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 11, 40, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 11, 45, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 11, 50, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 11, 55, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 12, 0, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 12, 5, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 12, 10, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 12, 15, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 12, 20, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 12, 25, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 12, 30, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 12, 36, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 12, 41, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 12, 46, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 12, 51, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 12, 56, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 13, 1, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 13, 6, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 13, 11, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 13, 16, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 13, 21, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 13, 26, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 13, 31, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 13, 36, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 13, 42, 0)	21.2	46.0%
(2021, 10, 27, 2, 18, 13, 47, 0)	21.2	46.0%
(2021, 10, 27, 2, 18, 13, 52, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 13, 57, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 14, 2, 0)	21.2	46.0%
(2021, 10, 27, 2, 18, 14, 7, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 14, 12, 0)	21.2	46.0%
(2021, 10, 27, 2, 18, 14, 17, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 14, 22, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 14, 27, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 14, 32, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 14, 37, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 14, 43, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 14, 48, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 14, 53, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 14, 58, 0)	21.2	46.0%
(2021, 10, 27, 2, 18, 15, 3, 0)	21.2	46.0%
(2021, 10, 27, 2, 18, 15, 8, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 15, 13, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 15, 18, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 15, 23, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 15, 28, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 15, 33, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 15, 38, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 15, 44, 0)	21.2	46.0%
(2021, 10, 27, 2, 18, 15, 49, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 15, 54, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 15, 59, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 16, 4, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 16, 9, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 16, 14, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 16, 19, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 16, 24, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 16, 29, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 16, 34, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 16, 39, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 16, 44, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 16, 50, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 16, 55, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 17, 0, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 17, 5, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 17, 10, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 17, 15, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 17, 20, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 17, 25, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 17, 30, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 17, 35, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 17, 40, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 17, 45, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 17, 51, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 17, 56, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 18, 1, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 18, 6, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 18, 11, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 18, 16, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 18, 21, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 18, 26, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 18, 31, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 18, 36, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 18, 41, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 18, 46, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 18, 52, 0)	21.2	46.0%
(2021, 10, 27, 2, 18, 18, 57, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 19, 2, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 19, 7, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 19, 12, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 19, 17, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 19, 22, 0)	21.2	46.0%
(2021, 10, 27, 2, 18, 19, 27, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 19, 32, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 19, 37, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 19, 42, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 19, 47, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 19, 52, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 19, 58, 0)	21.2	46.0%
(2021, 10, 27, 2, 18, 20, 3, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 20, 8, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 20, 13, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 20, 18, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 20, 23, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 20, 28, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 20, 33, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 20, 38, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 20, 43, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 20, 48, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 20, 53, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 20, 59, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 21, 4, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 21, 9, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 21, 14, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 21, 19, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 21, 24, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 21, 29, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 21, 34, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 21, 39, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 21, 44, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 21, 49, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 21, 54, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 21, 59, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 22, 5, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 22, 10, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 22, 15, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 22, 20, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 22, 25, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 22, 30, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 22, 35, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 22, 40, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 22, 45, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 22, 50, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 22, 55, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 23, 0, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 23, 6, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 23, 11, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 23, 16, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 23, 21, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 23, 26, 0)	21.0	45.0%
(2021, 10, 27, 2, 18, 23, 31, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 23, 36, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 23, 41, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 23, 46, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 23, 51, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 23, 56, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 24, 1, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 24, 7, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 24, 12, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 24, 17, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 24, 22, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 24, 27, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 24, 32, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 24, 37, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 24, 42, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 24, 47, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 24, 52, 0)	21.2	46.0%
(2021, 10, 27, 2, 18, 24, 57, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 25, 2, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 25, 7, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 25, 13, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 25, 18, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 25, 23, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 25, 28, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 25, 33, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 25, 38, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 25, 43, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 25, 48, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 25, 53, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 25, 58, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 26, 3, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 26, 8, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 26, 14, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 26, 19, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 26, 24, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 26, 29, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 26, 34, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 26, 39, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 26, 44, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 26, 49, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 26, 54, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 26, 59, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 27, 4, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 27, 9, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 27, 14, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 27, 20, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 27, 25, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 27, 30, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 27, 35, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 27, 40, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 27, 45, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 27, 50, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 27, 55, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 28, 0, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 28, 5, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 28, 10, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 28, 15, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 28, 21, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 28, 26, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 28, 31, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 28, 36, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 28, 41, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 28, 46, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 28, 51, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 28, 56, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 29, 1, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 29, 6, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 29, 11, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 29, 16, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 29, 22, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 29, 27, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 29, 32, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 29, 37, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 29, 42, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 29, 47, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 29, 52, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 29, 57, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 30, 2, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 30, 7, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 30, 12, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 30, 17, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 30, 22, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 30, 28, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 30, 33, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 30, 38, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 30, 43, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 30, 48, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 30, 53, 0)	21.3	45.0%
(2021, 10, 27, 2, 18, 30, 58, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 31, 3, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 31, 8, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 31, 13, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 31, 18, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 31, 23, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 31, 29, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 31, 34, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 31, 39, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 31, 44, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 31, 49, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 31, 54, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 31, 59, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 32, 4, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 32, 9, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 32, 14, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 32, 19, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 32, 24, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 32, 30, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 32, 35, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 32, 40, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 32, 45, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 32, 50, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 32, 55, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 33, 0, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 33, 5, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 33, 10, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 33, 15, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 33, 20, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 33, 25, 0)	21.0	45.0%
(2021, 10, 27, 2, 18, 33, 30, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 33, 36, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 33, 41, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 33, 46, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 33, 51, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 33, 56, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 34, 1, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 34, 6, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 34, 11, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 34, 16, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 34, 21, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 34, 26, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 34, 31, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 34, 37, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 34, 42, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 34, 47, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 34, 52, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 34, 57, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 35, 2, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 35, 7, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 35, 12, 0)	21.0	45.0%
(2021, 10, 27, 2, 18, 35, 17, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 35, 22, 0)	21.0	45.0%
(2021, 10, 27, 2, 18, 35, 27, 0)	21.0	45.0%
(2021, 10, 27, 2, 18, 35, 32, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 35, 38, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 35, 43, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 35, 48, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 35, 53, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 35, 58, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 36, 3, 0)	21.0	45.0%
(2021, 10, 27, 2, 18, 36, 8, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 36, 13, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 36, 18, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 36, 23, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 36, 28, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 36, 33, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 36, 38, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 36, 44, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 36, 49, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 36, 54, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 36, 59, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 37, 4, 0)	21.2	45.0%
(2021, 10, 27, 2, 18, 37, 9, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 37, 14, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 37, 19, 0)	21.0	45.0%
(2021, 10, 27, 2, 18, 37, 24, 0)	21.1	45.0%
(2021, 10, 27, 2, 18, 37, 29, 0)	21.0	45.0%
(2021, 10, 27, 2, 18, 37, 34, 0)	21.1	46.0%
(2021, 10, 27, 2, 18, 37, 39, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 37, 45, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 37, 50, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 37, 55, 0)	21.0	45.0%
(2021, 10, 27, 2, 18, 38, 0, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 38, 5, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 38, 10, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 38, 15, 0)	21.0	46.0%
(2021, 10, 27, 2, 18, 38, 20, 0)	20.9	45.0%
(2021, 10, 27, 2, 18, 38, 25, 0)	20.9	45.0%
(2021, 10, 27, 2, 18, 38, 30, 0)	21.0	46.0%
